source,shape,pixel_size,measured_size_mm,area_mm2,contour_area_px,center_x,center_y
100cm_circle.jpg,circle,477.730,100.385,7914.525,177839.000,399,606
125cm_square.jpg,square,479.000,100.652,10130.725,228763.000,399,606
150cm_circle.jpg,circle,478.901,100.631,7953.365,178045.500,399,606
175cm_circle.jpg,circle,478.483,100.543,7939.494,177853.500,399,606
200cm_triangle.jpg,triangle,602.377,126.577,6937.563,142388.000,399,604
angle_15deg_circle.jpg,circle,478.719,100.592,7947.307,178013.000,399,605
angle_30deg_circle.jpg,circle,478.100,100.462,7926.775,177960.000,399,606
微信图片_20260609144551_50_322.jpg,triangle,536.402,112.713,5501.126,112482.500,398,684
微信图片_20260609144555_53_322.jpg,triangle,535.069,112.433,5473.812,111198.500,399,683
微信图片_20260609144558_56_322.jpg,triangle,537.978,113.045,5533.499,112935.000,399,684
微信图片_20260609144559_57_322.jpg,triangle,533.655,112.136,5444.915,110486.000,397,682
