source,tvec_x_mm,tvec_y_mm,tvec_z_mm,distance_mm,yaw_deg,pitch_deg,roll_deg
100cm_circle.jpg,150.9,22.2,379.6,379.6,1.92,-7.50,1.90
125cm_square.jpg,174.3,26.8,439.3,439.3,1.03,-6.54,1.71
150cm_circle.jpg,197.0,30.9,497.2,497.2,0.50,-5.84,1.56
175cm_circle.jpg,226.5,36.1,572.2,572.2,-0.04,-5.19,1.43
200cm_triangle.jpg,266.3,42.8,673.4,673.4,-0.56,-4.61,1.32
angle_15deg_circle.jpg,193.4,-19.2,408.0,408.0,2.34,-6.19,4.51
angle_30deg_circle.jpg,154.1,62.3,460.3,460.3,11.86,7.71,1.14
微信图片_20260609144551_50_322.jpg,58.9,99.2,546.7,546.7,4.33,12.15,-1.07
微信图片_20260609144555_53_322.jpg,25.9,71.8,299.0,299.0,6.47,10.16,-0.50
微信图片_20260609144558_56_322.jpg,23.0,-22.6,535.6,535.6,-16.69,13.12,-2.64
微信图片_20260609144559_57_322.jpg,22.6,110.6,516.1,516.1,33.07,-2.46,-1.49
